agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2001-02-28	13.0	A
USGS	09066325	2001-03-01	14.0	A
USGS	09066325	2001-03-02	14.0	A
USGS	09066325	2001-03-03	14.0	A
USGS	09066325	2001-03-04	14.0	A
USGS	09066325	2001-03-05	14.0	A
USGS	09066325	2001-03-06	14.0	A
USGS	09066325	2001-03-07	14.0	A
USGS	09066325	2001-03-08	14.0	A
USGS	09066325	2001-03-09	15.0	A
USGS	09066325	2001-03-10	15.0	A
USGS	09066325	2001-03-11	14.0	A
USGS	09066325	2001-03-12	14.0	A
USGS	09066325	2001-03-13	15.0	A
USGS	09066325	2001-03-14	14.0	A
USGS	09066325	2001-03-15	13.0	A
USGS	09066325	2001-03-16	15.0	A
USGS	09066325	2001-03-17	15.0	A
USGS	09066325	2001-03-18	14.0	A
USGS	09066325	2001-03-19	14.0	A
USGS	09066325	2001-03-20	15.0	A
USGS	09066325	2001-03-21	20.0	A
USGS	09066325	2001-03-22	27.0	A
USGS	09066325	2001-03-23	27.0	A
USGS	09066325	2001-03-24	27.0	A
USGS	09066325	2001-03-25	32.0	A
USGS	09066325	2001-03-26	32.0	A
USGS	09066325	2001-03-27	29.0	A
USGS	09066325	2001-03-28	25.0	A
USGS	09066325	2001-03-29	23.0	A
USGS	09066325	2001-03-30	21.0	A
USGS	09066325	2001-03-31	20.0	A
USGS	09066325	2001-04-01	22.0	A
USGS	09066325	2001-04-02	27.0	A
USGS	09066325	2001-04-03	29.0	A
USGS	09066325	2001-04-04	36.0	A
USGS	09066325	2001-04-05	43.0	A
USGS	09066325	2001-04-06	38.0	A
USGS	09066325	2001-04-07	33.0	A
USGS	09066325	2001-04-08	30.0	A
USGS	09066325	2001-04-09	27.0	A
USGS	09066325	2001-04-10	31.0	A
USGS	09066325	2001-04-11	30.0	A
USGS	09066325	2001-04-12	27.0	A
USGS	09066325	2001-04-13	26.0	A
USGS	09066325	2001-04-14	26.0	A
USGS	09066325	2001-04-15	25.0	A
USGS	09066325	2001-04-16	30.0	A
USGS	09066325	2001-04-17	41.0	A
USGS	09066325	2001-04-18	64.0	A
USGS	09066325	2001-04-19	81.0	A
USGS	09066325	2001-04-20	80.0	A
USGS	09066325	2001-04-21	66.0	A
USGS	09066325	2001-04-22	60.0	A
USGS	09066325	2001-04-23	52.0	A
USGS	09066325	2001-04-24	48.0	A
USGS	09066325	2001-04-25	56.0	A
USGS	09066325	2001-04-26	76.0	A
USGS	09066325	2001-04-27	108	A
USGS	09066325	2001-04-28	137	A
USGS	09066325	2001-04-29	170	A
USGS	09066325	2001-04-30	191	A
USGS	09066325	2001-05-01	240	A
USGS	09066325	2001-05-02	257	A
USGS	09066325	2001-05-03	187	A
USGS	09066325	2001-05-04	151	A
USGS	09066325	2001-05-05	138	A
USGS	09066325	2001-05-06	126	A:e
USGS	09066325	2001-05-07	132	A:e
USGS	09066325	2001-05-08	148	A:e
USGS	09066325	2001-05-09	188	A
USGS	09066325	2001-05-10	223	A
USGS	09066325	2001-05-11	286	A
USGS	09066325	2001-05-12	391	A
USGS	09066325	2001-05-13	453	A
USGS	09066325	2001-05-14	490	A
USGS	09066325	2001-05-15	534	A
USGS	09066325	2001-05-16	548	A
USGS	09066325	2001-05-17	542	A
USGS	09066325	2001-05-18	502	A
USGS	09066325	2001-05-19	536	A
USGS	09066325	2001-05-20	548	A
USGS	09066325	2001-05-21	490	A
USGS	09066325	2001-05-22	389	A
USGS	09066325	2001-05-23	423	A
USGS	09066325	2001-05-24	512	A
USGS	09066325	2001-05-25	546	A
USGS	09066325	2001-05-26	583	A
USGS	09066325	2001-05-27	654	A
USGS	09066325	2001-05-28	652	A
USGS	09066325	2001-05-29	595	A
USGS	09066325	2001-05-30	616	A
USGS	09066325	2001-05-31	639	A
USGS	09066325	2001-06-01	685	A
USGS	09066325	2001-06-02	712	A
USGS	09066325	2001-06-03	690	A
USGS	09066325	2001-06-04	597	A
USGS	09066325	2001-06-05	496	A
USGS	09066325	2001-06-06	537	A
USGS	09066325	2001-06-07	606	A
USGS	09066325	2001-06-08	620	A
USGS	09066325	2001-06-09	568	A
USGS	09066325	2001-06-10	553	A
USGS	09066325	2001-06-11	565	A
USGS	09066325	2001-06-12	501	A
USGS	09066325	2001-06-13	434	A
USGS	09066325	2001-06-14	323	A
USGS	09066325	2001-06-15	288	A
